#,"English
{[@2#1~en~0@]}","Chinese (Simplified)
{[@2#1~zh-Hans~0@]}","Import Status 
{[@3#@]}","Import Details 
{[@3#@]}",Notes
"1
{[@1#8383#39677#36381612@]}",Abandoned,已放弃," 
{[@3#@]}"," 
{[@3#@]}",
"2
{[@1#8383#39677#36381613@]}",About,关于," 
{[@3#@]}"," 
{[@3#@]}",
"3
{[@1#8383#39677#36381614@]}",Accept,接受," 
{[@3#@]}"," 
{[@3#@]}",
"4
{[@1#8383#39677#36381615@]}",Acceleration,加速," 
{[@3#@]}"," 
{[@3#@]}",
"5
{[@1#8383#39677#36381616@]}",Account Status,帐户状态," 
{[@3#@]}"," 
{[@3#@]}",
"6
{[@1#8383#39677#36381617@]}",Action,操作," 
{[@3#@]}"," 
{[@3#@]}",
"7
{[@1#8383#39677#36381618@]}",Event Type,事件类型," 
{[@3#@]}"," 
{[@3#@]}",
"8
{[@1#8383#39677#36381619@]}",Actions,操作," 
{[@3#@]}"," 
{[@3#@]}",
"9
{[@1#8383#39677#36381620@]}",ACTIVE,活跃," 
{[@3#@]}"," 
{[@3#@]}",
"10
{[@1#8383#39677#36381621@]}",Active,活跃," 
{[@3#@]}"," 
{[@3#@]}",
"11
{[@1#8383#39677#36381622@]}",Active CPUs,活跃 CPU," 
{[@3#@]}"," 
{[@3#@]}",
"12
{[@1#8383#39677#36381623@]}",Add,添加," 
{[@3#@]}"," 
{[@3#@]}",
"13
{[@1#8383#39677#36381624@]}",Add ...,添加...," 
{[@3#@]}"," 
{[@3#@]}",
"14
{[@1#8383#39677#36381625@]}",Add Virtual Server,添加虚拟服务器," 
{[@3#@]}"," 
{[@3#@]}",
"15
{[@1#8383#39677#36381626@]}",Address,地址," 
{[@3#@]}"," 
{[@3#@]}",
"16
{[@1#8383#39677#36381627@]}",Addresses,地址," 
{[@3#@]}"," 
{[@3#@]}",
"17
{[@1#8383#39677#36381628@]}",Address:,地址：," 
{[@3#@]}"," 
{[@3#@]}",
"18
{[@1#8383#39677#36381629@]}",Address/Prefix Length:,地址/前缀长度：," 
{[@3#@]}"," 
{[@3#@]}",
"19
{[@1#8383#39677#36381630@]}",Address List,地址列表," 
{[@3#@]}"," 
{[@3#@]}",
"20
{[@1#8383#39677#36381631@]}",Address Translation,地址转换," 
{[@3#@]}"," 
{[@3#@]}",
"21
{[@1#8383#39677#36381632@]}",Advance,高级," 
{[@3#@]}"," 
{[@3#@]}",
"22
{[@1#8383#39677#36381633@]}",Advanced,高级," 
{[@3#@]}"," 
{[@3#@]}",
"23
{[@1#8383#39677#36381634@]}",AES,AES," 
{[@3#@]}"," 
{[@3#@]}",
"24
{[@1#8383#39677#36381635@]}",After,之后," 
{[@3#@]}"," 
{[@3#@]}",
"25
{[@1#8383#39677#36381636@]}",Alias,别名," 
{[@3#@]}"," 
{[@3#@]}",
"26
{[@1#8383#39677#36381637@]}",Aliases,别名," 
{[@3#@]}"," 
{[@3#@]}",
"27
{[@1#8383#39677#36381638@]}",* All,* 全部," 
{[@3#@]}"," 
{[@3#@]}",
"28
{[@1#8383#39677#36381639@]}",All,全部," 
{[@3#@]}"," 
{[@3#@]}",
"29
{[@1#8383#39677#36381640@]}",Allow,允许," 
{[@3#@]}"," 
{[@3#@]}",
